video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
gDuslQ9avLc,17.14.11,Захар и Полина учатся экономить,Т—Ж БОГАЧ,22,2017-11-13T09:09:31.000Z,"захар и полина|""учимся экономить""|""копить деньги""|""экономь""|""мелкие траты""|""как экономить на еде""|""советы экономить""|""личный бюджет""|""при маленькой зарплате""|""свадьба""|""подготовка к свадьбе""|""гости на свадьбе""|""красивая свадьба""|""жизнь свадьба""",62408,334,190,50,https://i.ytimg.com/vi/gDuslQ9avLc/default.jpg,FALSE,FALSE,FALSE,Знакомьтесь  это Захар и Полина. Вместе с ними мы сняли серию роликов о семейном бюджете  экономии и тратах. В первом ролике ребята готовятся к свадьбе и хотят отпраздновать ее пышно. Но без накоплений  с одной зарплатой на двоих и кучей мелких трат свадьба может не случиться. Смотрите  как спасти семейный бюджет и научиться копить. В следующем ролике расскажем  как заработать больше  если денег все равно не хватает.  Таблица для ежедневного бюджета: https://journal.tinkoff.ru/spreadsheet/  Подписывайтесь на наш канал и узнавайте  как с умом пользоваться деньгами:  https://www.youtube.com/tinkoffjournal  Готовы рассказать свою историю или стать автором канала — пишите на rich@tinkoff.ru
AOCJIFEA_jE,17.14.11,Биржа Мемов #29. Большой выпуск,Druzhko Show,22,2017-11-13T17:32:11.000Z,"биржа мемов|""лев шагинян""|""мемы""|""пикчи""|""дружко""|""дружко шоу""|""анонимус""|""борщ""|""ftp""|""мхк""|""на случай важных переговоров""|""аффлек""|""бэн аффлек""|""batman""|""бэтмен""|""трамп""",330043,43841,2244,2977,https://i.ytimg.com/vi/AOCJIFEA_jE/default.jpg,FALSE,FALSE,FALSE,В 29 выпуске Дружко Шоу Сергей сказал  что Биржа Мемов отдельно выйдет на его канале в понедельник…и не соврал!  Встречайте  расширенная и  впервые  самостоятельная Биржа Мемов  в которой Лев вспомнил лучшие пикчи последней недели  обсудил самые мемные новости  встретился с очередным гостем и разобрал один из пабликов ВК на орпригодность в рамках своей новой рубрики! В общем  обязательно к просмотру.  Ведущий биржи мемов:  VK: https://vk.cc/6Dolqn Instagram: https://goo.gl/AoHGPN  Биржа Мемов: https://vk.com/stockmem  Группа Вконтакте: https://vk.cc/6BBS07 Группа Facebook: https://goo.gl/ZS5mzT Instagram Шоу: https://goo.gl/F5s5PK  Моя личная страница ВКонтакте: https://vk.cc/6Djxew Мой инстаграм: https://goo.gl/LukuVV  Иван #ЖаданИсполняетМечты: VK: https://vk.cc/70ncIe Instagram: https://goo.gl/DVjC87
VAWNQDgwwOM,17.14.11,ХАЙП КЭМП - СВОЙ СРЕДИ ЧУЖИХ,Юлик,24,2017-11-13T16:11:31.000Z,"юмор|""комедия""|""влог""|""блог""|""смешно""|""смешное""|""juliusspeak""|""julius speak""|""джулиус спик""|""юлик""|""шутки""|""приколы""|""видеоприколы""|""хайп кэмп""",424596,49854,714,2944,https://i.ytimg.com/vi/VAWNQDgwwOM/default.jpg,FALSE,FALSE,FALSE,http://kapitany.ru/!Yulik.cap - Факультет #Капитаны Мерч - https://mamcupy.com/shop/pap-prodaj/yulik Юлик - http://vk.com/oneshko Группа - http://vk.com/juliusspeak Лайв канал - https://www.youtube.com/channel/UCvnVq3ay_VTc6NuwwfUzVJQ?sub_confirmation=1
gknkFwKQfHg,17.14.11,Сочная кесадилья с курицей,Hochland,22,2017-11-13T06:51:10.000Z,"хохланд|""сыр""|""рецепты""|""как приготовить""|""вкусно""|""быстро""",112851,3566,122,80,https://i.ytimg.com/vi/gknkFwKQfHg/default.jpg,FALSE,FALSE,FALSE,*** как готовить ресторанные блюда дома
3sYvZcwzZr8,17.14.11,КЛИПЫ РОДИТЕЛЕЙ НА ШКОЛЬНЫЙ ВЫПУСКНОЙ,Совергон,24,2017-11-13T16:52:36.000Z,"Совергон|""Sovergon""|""клипы""|""родители""|""школа""|""школьники""|""школьница""|""выпускной""|""последний звонок""|""звонок""|""музыка""|""юмор""|""скетч""|""шоу""|""совергон +""|""мама""|""папа""|""класс""|""11А""|""9А""|""учителя""|""1 сентября""|""обзор""|""тренды""|""реакция""|""мемы""|""видео""|""обзор трендов""|""в тренде""|""горячее""|""засмеялся проиграл""|""тает лёд""|""пародия""",243469,36216,631,1692,https://i.ytimg.com/vi/3sYvZcwzZr8/default.jpg,FALSE,FALSE,FALSE,❏ КОНКУРС КАПИТАНЫ: http://kapitany.ru/!Sovergon.cap  Приветствую  единственный человек  который читает описание. Сегодня я забрел совсем в какие-то дебри. Знаешь же клипы выпускников школ/лицеев? Все эти пародии на Тает Лёд и прочее? У этого есть ещё и поджанр - родители тоже порой снимают клипы на выпускной своих детей. Посмотри на это вместе со мной!  ▶https://vk.com/sovergonm - Я в ВК  ▶https://vk.com/sovergon - Наша группа с мемами  ▶https://twitter.com/Sovergon - Твиттер с шутками  ▶http://instagram.com/Sovergon/ - Инстаграм с жизнью  ▶https://youtube.com/LiveSovergon - Нарезки со стримов и прочее
SLF34Gt_UxQ,17.14.11,АНОНС / Versus Fresh Blood 4: Война Стилей,versusbattleru,24,2017-11-12T17:50:31.000Z,[none],733936,47964,2545,3901,https://i.ytimg.com/vi/SLF34Gt_UxQ/default.jpg,FALSE,FALSE,FALSE,Участвовать в проекте допускаются только лица достигшие совершеннолетнего возраста(18+) Заявка принимается исключительно в виде видеозаписи с отсутствием элементов монтажа. Максимальная длительность заявки - 60 секунд. Заявки большего хронометража рассматриваться не будут. Все видеозаявки должны быть размещены на платформе YouTube и находиться в открытом доступе. Ссылку на ролик необходимо отправить по электронной почте на адрес vsbattlefb4@gmail.com Тема письма должна быть Fresh Blood 4 Война Стилей . В теле письма должны содержаться действительные данные следующего характера - Фамилия Имя Отчество  возраст участника  город проживания  телефон для связи и ссылка на социальные сети  если такие имеются. После получения письма Организатор должен уведомить отправителя о рассмотрении заявки ответным письмом в течении 14 дней в формате отказа в сотрудничестве  либо ответом о повторном рассмотрении заявки во втором этапе отбора. В случае отказа от сотрудничества с отправителем Организатор в праве не рассматривать другие видеоработы отправителя  а так же оставлять их без ответа.  Любые несоответствия форме заявки будет расценены как недействительные.  Режиссер — Рикка  Оператор — Мисюров Графика — Леднёв Звук — Цукерман 3D Художник – https://vk.com/kid_cut Sound producer - www.scadymusic.ru
YVcroDDi24s,17.14.11,ЗАМОРОЗКА ЧЕЛОВЕКА + 1 К БЕССМЕРТИЮ — ТОПЛЕС,ТОПЛЕС,28,2017-11-12T17:19:59.000Z,"топлес|""ян топлес""|""ян лапотков""|""caramba""|""topless""|""carambatv""|""karamba""|""topless caramba""|""топлес карамба""|""ян топлес и любарская""|""топлес шоу""|""я не каспар""|""янекаспар""|""заморозка""|""крионика""|""вашингтон""|""бессмертие""|""есть ли бессмертие""",1131851,78692,2427,4114,https://i.ytimg.com/vi/YVcroDDi24s/default.jpg,FALSE,FALSE,FALSE,Факультет Капитаны России  мой курс ► http://kapitany.ru/!Topless.cap  ОТДЫХАЕМ ОТ НАУКИ ТУТ ► https://goo.gl/LFf4Dj  #ТОПЛЕС #ЯНЛАПОТКОВ #ТОПЛЕСШОУ #+1КБЕССМЕРТИЮ #ЗАМОРОЗКАЧЕЛОВЕКА #КРИОНИКА  ▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰  Я В VK ► https://vk.com/yanlapotkov INSTAGRAM ► https://www.instagram.com/yan_lapotkov/ ГРУППА VK ► https://vk.com/toples_show TWITTER ► https://twitter.com/drunish  ▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰  Смотрите больше видео: КОСМОС ► https://goo.gl/uCkfD3 ТЕХНОЛОГИИ ► https://goo.gl/vLdH2H ИГРЫ ► https://goo.gl/17LhoN КИНО ► https://goo.gl/ZUgWGD VLOG ► https://goo.gl/z88cuS СТРАХ ► https://goo.gl/b6fu5K ЖИВОТНЫЕ ► https://goo.gl/jn93tz ОЧЕНЬ ИНТЕРЕСНЫЕ ► https://goo.gl/Prcrtj  ▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰  ИСТОЧНИКИ:  ГДЕ МОЖНО СЕБЯ ЗАМОРОЗИТЬ? http://kriorus.ru/ http://alcor.org/ http://www.cryonics.org/  Остальное:  https://goo.gl/NR5oDQ  ▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰  Реклама  сотрудничество: toples.show@gmail.com  ▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰  Редактор: Вадим Куликов Аниматор: Алена Никитина
TZdNwUSgRHc,17.14.11,РПЦ незаконно строит храм  полиция смотрит как бьют местных жителей,Нет застройке без согласия,22,2017-11-13T06:29:09.000Z,[none],97006,2259,330,887,https://i.ytimg.com/vi/TZdNwUSgRHc/default.jpg,FALSE,FALSE,FALSE,Строители нападают на муниципального депутата  стоящие рядом полицейские звонят куда-то по телефону и делают вид  что ничего не происходит! Сегодня  13 ноября  на улице Воротынской  возле дома №14  произошли стычки между строителями храма и жителями района  которые выступают против застройки в своем дворе. Активистам удавалось сдерживать начало строительства в течении месяца  так как у застройщика не было на руках всех разрешающих документов. Однако сегодня рабочие пригнали строительную технику в 7 утра и выстроились живой цепью  дабы не пропустить местных жителей на площадку и не дать им помешать начать строительство. Кроме самих рабочих площадка ничем не огорожена. В настоящий момент  происходят стычки  рабочие нападают на местных жителей  которые пытаются пройти к технике  полиция  присутствующая на площадке бездействует и называет жильцов провокаторами.
YxEJVGfP74Y,17.14.11,Итальянцы VS русская народная медицина,Итальянцы by Kuzno Productions,24,2017-11-13T17:22:55.000Z,"Итальянцы|""эмоциональные итальянцы""|""итальянцы угадывают""|""народная медицина""|""иностранцы о россии""|""русская медицина""|""средства от кашля""|""как вылечить""|""смотреть итальянцев""|""реакции""|""эмоции""|""шоу реакция""|""шоу реакций""|""россия""|""трэш шоу""|""угадывают""|""европейцы пробуют""",105116,9780,93,1184,https://i.ytimg.com/vi/YxEJVGfP74Y/default.jpg,FALSE,FALSE,FALSE,Внимание! Стрим с Алессандрой пройдет 23 ноября в 20.00 по Москве канале Kuzno Live https://goo.gl/TYXddB Такие ли мы разные с итальянцами? Решили ответить на этот вопрос  предложив ребятам средства народной медицины  знакомые нам с детства. Вот и узнаем как лечат простые недомогания на солнечном полуострове!  Авторы канала и монтаж: Лариса Степанцова Дарья Переверзева Оператор: Виталий Казанин  Участники видео: Alessandra Carola Brambilla Maria Tacchio Mauro Milioti Claudio Bonandi Vincenzo Paolella Roberto Beretta
oZYT_vC4-pc,17.14.11,КВН 2017 Высшая лига Вторая 1/2 (12.11.2017) ИГРА ЦЕЛИКОМ Full HD,Официальный канал КВН,23,2017-11-12T22:00:03.000Z,"KVN|""КВН""|""камеди""|""comedy""|""приколы""|""финал""|""шутки""|""смешные""|""развлечения""|""юмор""|""игры""|""лига""|""Галустян""|""Задорнов""|""Мартиросян""|""Светлаков""|""Слепаков""|""Харламов""|""смотреть квн""|""квн онлайн""|""rdy""",442228,3194,5985,3218,https://i.ytimg.com/vi/oZYT_vC4-pc/default.jpg,FALSE,FALSE,FALSE,КВН 2017 Высшая лига Вторая 1/2 (12.11.2017) ИГРА ЦЕЛИКОМ Full HD  Подпишись на новые видео КВН - http://bit.ly/KVN_Subscribe Миниатюры. Блок #6- http://bit.ly/KVN_Best_6 Миниатюры. Блок #5 - http://bit.ly/KVN_Best_5 Миниатюры. Блок #4 - http://bit.ly/KVN_Best_4 Миниатюры. Блок #3 - http://bit.ly/KVN_Best_3 Миниатюры. Блок #2 - http://bit.ly/KVN_Best_2 Миниатюры КВН здесь - http://bit.ly/KVN_Best  YouTube - http://www.youtube.com/kvn Официальный сайт КВН - http://kvn.ru/ Vkontakte - http://vk.com/public28490858 Facebook - http://www.facebook.com/kvnbest Google+ - http://bit.ly/KVN_Google
